name,price,rank
LOVE21 女裝 愛心塗鴉棒球五分袖上衣(深藍),499,95
東京衣服 月光派對 典雅削肩 璀璨碎鑽女神風高雅設計細褶長禮服 粉紫,5280,96
WHALE JEANS 日韓元素搶眼潮流休閒水洗純棉情侶T-女(2色),693,97
WHALE JEANS 英式率性女孩馬卡龍色舒適圓領棉T(2色),200,98
LOVE21 女裝 鉚釘狗狗黑色背心,459,99
WHALE JEANS輕熟女復古渲染彩圖銀鑽妝點長版棉麻上衣(2色),200,100
WHALE JEANS 百變女伶高雅素色針織洋裝(2色),792,101
CACO-削肩條紋背心(兩色)-女,217,102
WHALE JEANS 鄰家女孩復古幾何洋裝,200,103
東京衣服 月光派對 典雅削肩 璀璨碎鑽女神風高雅設計細褶長禮服 粉橘,5280,104
WHALE JEANS 浪漫風情立體淑女帽橫條刷毛棉T(2色),494,105
摩達客 美國進口The Mountain 吐舌貓咪 喵嗚系列短袖女版T恤精梳棉,980,106
摩達客 美國進口The Mountain 貓咪鬥士 喵嗚系列短袖女版T恤精梳棉環保染,980,107
AERO 女裝 圓點點內搭褲(黑),399,108
WHALE JEANS 燙鑽女郎圖樣T恤,200,109
WHALE JEANS 小資女孩甜美英文亮片字母logoV領T恤MIT,693,110
韓系 女孩圖印破洞長短擺上衣(共四色)-91 KOKO,590,111
東京衣服-雅典娜女神 流星水鑽單肩帶 垂墜波浪長禮服 深紫,4280,112
LOVE21 女裝 碎花V領腰身洋裝(綠),534,113
WHALE JEANS 女伶風情前衣抓皺微長版格紋襯衫(2色),200,114
撞色立體花朵女童禮服-OMUSES,1780,115
法式公主女童禮服-OMUSES,1080,116
摩達客 美國進口The Mountain 藍眼貓咪 喵嗚系列短袖女版T恤精梳棉,980,117
東京衣服 羅蔓女神 單肩寶石綁帶雪紡洋裝小禮服 深紫,2880,118
古著 仿舊感巴黎鐵塔女人水洗背心裙,350,119
東京衣服 英倫情懷 深V抓皺扭結 女神輪廓 美背交叉長禮服 粉橘,5280,120
古著 自由女神骷顱人FIVE FINGER長版T恤,350,121
珍珠蕾絲銀蔥女童禮服-OMUSES,1380,122
LOVE21 女裝 十字架造型短T恤(黑),459,123
LOVE21 女裝 浪漫花紋背心洋裝(藍),534,124
Candy小舖 春裝氣質淑女緞面幾何圖設計無袖洋裝-紫色,439,125
中大尺碼 抽煙女人上衣加紅色滾邊條休閒闊腿長褲套裝XL~4L-Ballet Dolly,950,126
摩達客 美國進口The Mountain 貓咪親親 喵嗚系列短袖女版T恤精梳棉環保染,980,127
CACO-BOHO感繡花上衣(兩色)-女,299,128
歐根紗花朵女童小禮服-OMUSES.kids,890,129
WHALE JEANS 隨性女孩飛鼠袖針織罩衫(2色),794,130
東京衣服-希臘女伶 單肩帶 水鑽點綴 垂墜波浪雪紡長禮服 淺紫色,4980,131
WHALE JEANS 深邃渲染刷色亮片女孩加大版中低腰直筒牛仔褲,1085,132
東京衣服-希臘性感女神編織交錯性感裸空雪紡長禮服 蘋果綠,4580,133
蕾絲蝴蝶結女童小禮服-OMUSES.kids,445,134
Candy小舖 春裝氣質淑女緞面幾何圖設計無袖洋裝-青蘋果綠,439,135
東京衣服 英倫情懷 深V抓皺扭結 女神輪廓 美背交叉長禮服 深藍,5280,136
WHALE JEANS 混搭著個性女孩牛仔吊帶褲,595,137
LOVE21 女裝 蕾絲百褶背心洋裝(共二色),534,138
正韓 女歌手拼布合身純棉T恤 (共三色)-N.C21,1050,139
